user_id,age,gender,subscription_type,tenure_months,weekly_viewing_hours,content_diversity,price_increase,technical_issues,customer_service_calls,account_sharing,competing_services,last_login_days,binge_watching,user_rating,recommended_content_watched,signup_date,region,device_type,churn_probability
1,56,F,Basic,33,3.717465528603718,2,1,2,1,1,3,9,0,4.285317801400974,0.8148670149654462,2022-08-05 18:28:14.279677,Latin America,Computer,0.6369725050236437
2,69,M,Basic,24,14.066025933739887,7,0,1,1,0,2,9,0,3.0472255897544964,0.9273326151740112,2022-08-06 18:28:14.279677,Europe,TV,0.3654139484358726
3,46,M,Premium,44,8.605185348340957,2,1,0,0,0,0,13,1,3.8719181360815393,0.7027943598180023,2022-08-07 18:28:14.279677,Oceania,Mobile,0.4134496438288825
4,32,M,Premium,11,8.601199157520828,2,0,0,0,0,0,1,1,2.2440413539570403,0.2451539461047435,2022-08-08 18:28:14.279677,North America,Tablet,0.3567543153958185
5,60,M,Standard,17,13.951859480258557,9,1,0,1,0,0,3,0,2.224233811700579,0.5056657430843782,2022-08-09 18:28:14.279677,Asia,Mobile,0.4742806986036335
6,25,M,Premium,4,11.700256472844453,7,0,0,0,0,2,1,0,3.6703360871942428,0.03234528791889757,2022-08-10 18:28:14.279677,North America,TV,0.40433740567638615
7,38,M,Standard,47,12.853064986097655,3,0,0,0,1,3,17,1,3.8216354958939354,0.6469283410982468,2022-08-11 18:28:14.279677,Oceania,Computer,0.32846712400739464
8,56,M,Standard,25,14.840923302664304,3,1,1,0,0,4,12,0,4.748038798048575,0.5542952115087567,2022-08-12 18:28:14.279677,North America,Computer,0.5551188073344524
9,36,M,Basic,30,8.343458084083386,7,0,0,0,0,1,18,0,1.899354298871898,0.6668362807612931,2022-08-13 18:28:14.279677,Asia,TV,0.39069846953061643
10,40,F,Standard,9,6.938816327461248,5,0,0,1,0,3,4,1,2.8728703843518764,0.9301405533875955,2022-08-14 18:28:14.279677,North America,Mobile,0.37787221770294593
11,28,F,Basic,21,4.57424736721101,6,0,0,0,0,2,19,0,2.0020538926555655,0.6872766117204315,2022-08-15 18:28:14.279677,Asia,Mobile,0.4425894539693023
12,28,F,Premium,20,5.872947350105225,8,1,0,0,0,2,1,0,1.3203686435209816,0.3204499303747612,2022-08-16 18:28:14.279677,North America,Mobile,0.56591947400587
13,41,F,Standard,19,24.745472126543625,9,1,1,0,0,0,10,1,2.612922111789951,0.19873666387015676,2022-08-17 18:28:14.279677,North America,Mobile,0.42693282793665355
14,53,F,Standard,19,16.22339790368393,1,1,1,0,0,3,29,0,2.496322989152813,0.8546362068186548,2022-08-18 18:28:14.279677,Asia,Computer,0.6036568388305479
15,57,M,Basic,12,3.2446281689598937,3,0,0,0,0,0,29,1,2.0817364799287517,0.19433214327376058,2022-08-19 18:28:14.279677,North America,Mobile,0.4255879783283885
16,41,F,Basic,37,3.3877102162821497,7,1,1,0,0,1,25,0,2.187979564557666,0.1616095805953639,2022-08-20 18:28:14.279677,Europe,TV,0.5684321282941333
17,20,F,Basic,42,12.409330308592457,6,0,0,0,0,0,17,0,2.4416472254051125,0.2066120806809758,2022-08-21 18:28:14.279677,Latin America,TV,0.35430350512637837
18,39,F,Basic,17,12.736323986889834,7,0,0,1,1,1,29,0,4.955350531120374,0.5088408481305068,2022-08-22 18:28:14.279677,Europe,TV,0.36607353709252566
19,19,M,Basic,37,12.744419176586822,8,1,0,0,1,2,5,0,4.13183106386912,0.12418744315945685,2022-08-23 18:28:14.279677,Latin America,TV,0.5031413586876617
20,41,M,Premium,54,8.725221032231511,6,0,0,1,1,0,22,1,1.2856048043476278,0.9381183305967022,2022-08-24 18:28:14.279677,Europe,Mobile,0.27536011674732075
21,61,M,Standard,48,9.3727286999855,3,0,0,0,0,0,27,1,4.489652705946807,0.9662537072400896,2022-08-25 18:28:14.279677,Latin America,Computer,0.24372023169051685
22,47,M,Basic,39,11.639397620796787,2,0,2,0,0,4,9,1,3.5332133055946855,0.9738018532829988,2022-08-26 18:28:14.279677,North America,Tablet,0.4532239888395057
23,55,F,Basic,28,10.429465031466652,7,0,0,1,1,2,21,0,4.562375040487637,0.039124804819719805,2022-08-27 18:28:14.279677,Asia,Mobile,0.3972706622196613
24,19,F,Standard,41,0.0,1,1,1,0,0,4,22,1,2.366838748520913,0.9461975264800317,2022-08-28 18:28:14.279677,Asia,Tablet,0.5724485868008182
25,38,M,Standard,35,8.851001847124031,3,0,2,0,0,1,16,0,2.858075459246875,0.9974149326174252,2022-08-29 18:28:14.279677,Oceania,Computer,0.4267895500137527
26,50,Other,Standard,47,5.742967828698432,4,1,0,0,0,1,21,1,4.5849082292324335,0.9424291093454871,2022-08-30 18:28:14.279677,Latin America,Mobile,0.4123611109573468
27,29,F,Premium,48,10.87605709454256,1,0,1,0,0,2,10,1,2.090292543654726,0.6709389057627061,2022-08-31 18:28:14.279677,Oceania,Tablet,0.34118080393539935
28,39,M,Standard,18,24.92629501301705,5,0,1,1,0,1,18,0,4.662003504981661,0.7012301524085008,2022-09-01 18:28:14.279677,Oceania,Computer,0.3125601179681934
